timestamp_utc,records_lag_max,rabbitmq_total_messages
2026-07-21T00:30:10.295277+00:00,470,0
2026-07-21T00:30:11.848978+00:00,339,0
2026-07-21T00:30:13.403813+00:00,359,0
2026-07-21T00:30:14.949876+00:00,123,0
2026-07-21T00:30:16.516069+00:00,62,0
2026-07-21T00:30:18.096736+00:00,222,0
2026-07-21T00:30:19.642881+00:00,46,0
2026-07-21T00:30:21.191600+00:00,267,0
2026-07-21T00:30:22.759437+00:00,86,0
2026-07-21T00:30:24.333786+00:00,131,0
2026-07-21T00:30:25.891101+00:00,83,0
2026-07-21T00:30:27.455846+00:00,72,0
2026-07-21T00:30:29.004332+00:00,172,0
2026-07-21T00:30:30.571737+00:00,132,0
2026-07-21T00:30:32.126685+00:00,413,0
2026-07-21T00:30:33.662069+00:00,91,0
2026-07-21T00:30:35.240168+00:00,54,0
2026-07-21T00:30:36.785185+00:00,106,0
2026-07-21T00:30:38.356660+00:00,378,0
2026-07-21T00:30:39.944965+00:00,438,0
2026-07-21T00:30:41.482308+00:00,84,0
2026-07-21T00:30:43.029664+00:00,71,0
2026-07-21T00:30:44.587977+00:00,276,0
2026-07-21T00:30:46.153755+00:00,171,0
2026-07-21T00:30:47.699185+00:00,284,0
2026-07-21T00:30:49.281988+00:00,134,0
2026-07-21T00:30:50.828084+00:00,36,0
2026-07-21T00:30:52.380218+00:00,170,0
2026-07-21T00:30:53.931959+00:00,191,0
2026-07-21T00:30:55.479931+00:00,97,0
2026-07-21T00:30:57.030845+00:00,667,0
2026-07-21T00:30:58.591567+00:00,194,0
2026-07-21T00:31:00.128029+00:00,210,0
2026-07-21T00:31:01.669202+00:00,250,0
2026-07-21T00:31:03.226137+00:00,143,0
2026-07-21T00:31:04.775146+00:00,111,0
2026-07-21T00:31:06.328307+00:00,46,0
2026-07-21T00:31:07.915323+00:00,69,0
2026-07-21T00:31:09.468884+00:00,258,0
2026-07-21T00:31:11.026186+00:00,72,0
2026-07-21T00:31:12.577921+00:00,285,0
2026-07-21T00:31:14.153470+00:00,554,0
2026-07-21T00:31:15.705452+00:00,179,0
2026-07-21T00:31:17.265838+00:00,177,0
2026-07-21T00:31:18.815108+00:00,53,0
2026-07-21T00:31:20.373550+00:00,421,0
2026-07-21T00:31:21.919731+00:00,36,0
2026-07-21T00:31:23.464430+00:00,97,1
2026-07-21T00:31:25.007244+00:00,78,1
2026-07-21T00:31:26.545811+00:00,268,1
2026-07-21T00:31:28.108431+00:00,251,0
2026-07-21T00:31:29.696195+00:00,206,0
2026-07-21T00:31:31.247808+00:00,37,0
2026-07-21T00:31:32.798770+00:00,139,0
2026-07-21T00:31:34.347288+00:00,246,0
2026-07-21T00:31:35.886719+00:00,75,0
2026-07-21T00:31:37.516514+00:00,357,5
2026-07-21T00:31:39.078349+00:00,124,5
2026-07-21T00:31:40.636474+00:00,78,5
